Product,Organic,Unit,Label,COO,Sales Order,Invoice #,Invoice Payment Status,Most Recent Invoice Paid Date,Sale Location,Sales Rep,Reqs. Date,Customer,Lot,Vendor,Source,Received Date,Use By Date,Pack Date,Lot Location,Quantity,Cost per Unit,Price per Unit,Total Cost,Total Sold Lot Expenses,Total Revenue,Total Profit $,Total Profit %,Oficina
Bell Pepper Orange Jmb,True,11 Lb,Fresh,MX,4934052.0,10365.0,Paid,2025-03-25,Nogales Vendor,Stephan Salas,02/28/2025,"Terra Bella Greenhouses, Inc.",50427-BEL-2,Agriferg Produce LLC,PO #50427,03/03/2025,,,Nogales Vendor,40.0,18.95,21.95,758.0,0.0,878.0,120.0,13.67,Florida
Bell Pepper Orange Jmb,True,11 Lb,Fresh,MX,4936072.0,10370.0,Paid,2025-04-08,Nogales Vendor,Stephan Salas,03/04/2025,"Terra Bella Greenhouses, Inc.",50459-BEL-1,Agriferg Produce LLC,PO #50459,03/06/2025,,,Nogales Vendor,35.0,18.95,21.95,663.25,0.0,768.25,105.0,13.67,Florida
Bell Pepper Orange Jmb,False,11 Lb Box,Fresh,MX,2532614.0,2536.0,Paid,2023-07-28,Nogales Vendor,Pablo Najar,06/22/2023,"Terra Bella Farms, LLC.",1756-BEL-1,"NatureSweet, Ltd.",PO #1756,07/17/2023,,,Nogales Vendor,100.0,6.05,7.95,605.0,0.0,795.0,190.0,23.9,Florida
Bell Pepper Orange Jmb,False,11 Lb Box,Fresh,MX,3025374.0,3344.0,Paid,2023-11-17,McAllen Vendor,Stephan Salas,11/01/2023,Huron Produce,2615-BEL-1,"Produce Team, LLC.",PO #2615,11/06/2023,,,McAllen Vendor,224.0,11.0,12.5,2464.0,0.0,2800.0,336.0,12.0,Florida
Bell Pepper Orange Jmb,True,11 Lb Box,Fresh,MX,3398575.0,5285.0,Paid,2024-04-01,Nogales Vendor,Stephan Salas,02/17/2024,"Terra Bella Greenhouses, Inc.",3316-BEL-1,Agriferg Produce LLC,PO #3316,02/22/2024,,,Nogales Vendor,99.0,22.95,26.95,2272.05,0.0,2668.05,396.0,14.84,Florida
Bell Pepper Orange Jmb,True,11 Lb Box,Fresh,MX,3426376.0,5321.0,Paid,2024-03-14,Nogales Vendor,Pablo Najar,02/26/2024,The Produce Exchange Inc,3359-BEL-1,Agriferg Produce LLC,PO #3359,02/28/2024,,,Nogales Vendor,99.0,30.95,35.95,3064.05,14.0,3559.05,481.0,13.51,Florida
Bell Pepper Orange Jmb,False,11 Lb Box,Fresh,MX,3446045.0,5360.0,Paid,2024-04-05,Nogales Vendor,Stephan Salas,03/01/2024,Pure Flavor Farms LP,3407-BEL-1,"Hortinvest México, S.A. de C.V.",PO #3407,03/04/2024,,,Nogales Vendor,330.0,20.0,23.95,6600.0,0.0,7903.5,1303.5,16.49,Florida
Bell Pepper Orange Jmb,True,11 Lb Box,Fresh,MX,3461817.0,5383.0,Paid,2024-03-31,Nogales Vendor,Stephan Salas,03/06/2024,Nature Fresh Farms Sales Inc,3432-BEL-1,Agriferg Produce LLC,PO #3432,03/07/2024,,,Nogales Vendor,1386.0,25.0,28.95,34650.0,0.0,40124.7,5474.7,13.64,Florida
Bell Pepper Orange Jmb,False,11 Lb Box,Fresh,MX,3941892.0,6051.0,Paid,2024-08-30,McAllen Vendor,Pablo Najar,06/29/2024,"NatureSweet, Ltd.",4167-BEL-4,Huron Produce,PO #4167,07/03/2024,,,McAllen Vendor,237.0,24.0,29.95,5688.0,28.66,7098.15,1381.49,19.46,Florida
Bell Pepper Orange Jmb,True,11 Lb Box,Fresh,MX,4843874.0,10227.0,Paid,2025-03-22,Nogales Vendor,Stephan Salas,02/06/2025,The Produce Exchange Inc,50276-BEL-1,Agriferg Produce LLC,PO #50276,03/04/2025,,,Nogales Vendor,200.0,7.5,9.95,1500.0,30.0,1990.0,460.0,23.12,Florida
Bell Pepper Orange Jmb,False,11 Lb Box,Fresh,MX,4903983.0,10324.0,Paid,2025-03-07,McAllen Vendor,Stephan Salas,02/21/2025,Huron Produce,50377-BEL-1,Red Sun Farms,PO #50377,02/25/2025,,,McAllen Vendor,300.0,13.0,14.95,3900.0,0.0,4485.0,585.0,13.04,Florida
Bell Pepper Orange Jmb,True,11 Lb Box,Fresh,MX,4927188.0,10351.0,Paid,2025-03-25,Nogales Vendor,Stephan Salas,02/27/2025,"Terra Bella Greenhouses, Inc.",50414-BEL-2,Agriferg Produce LLC,PO #50414,03/05/2025,,,Nogales Vendor,50.0,18.95,21.95,947.5,2.59,1097.5,147.41,13.43,Florida
Bell Pepper Orange Jmb,True,11 Lb Box,Fresh,MX,4951954.0,10397.0,Paid,2025-04-02,Nogales Vendor,Stephan Salas,03/05/2025,The Produce Exchange Inc,50462-BEL-2,Agriferg Produce LLC,PO #50462,03/07/2025,,,Nogales Vendor,100.0,21.25,25.5,2125.0,0.0,2550.0,425.0,16.67,Florida
Bell Pepper Orange Jmb,True,11 Lb Box,Fresh,MX,5387267.0,11095.0,Unpaid,,Nogales Vendor,Stephan Salas,06/12/2025,"Terra Bella Greenhouses, Inc.",51249-BEL-2,Windset Farms,PO #51249,06/16/2025,,,Nogales Vendor,16.0,32.0,36.95,512.0,0.0,591.2,79.2,13.4,Florida
Bell Pepper Orange Jmb,True,25 Lb Box,Fresh,MX,3398470.0,5282.0,Paid,2024-03-19,Nogales Vendor,Pablo Najar,02/17/2024,"Ciruli Brothers, LLC.",3317-BEL-1,Agriferg Produce LLC,PO #3317,02/22/2024,,,Nogales Vendor,99.0,22.95,25.95,2272.05,14.0,2569.05,283.0,11.02,Florida
Bell Pepper Orange Lge,True,1 1/9 Bua,Fresh,MX,3149892.0,3551.0,Paid,2024-02-12,Nogales Vendor,Pablo Najar,12/07/2023,"Ciruli Brothers, LLC.",2848-BEL-2,"Bridges Produce, Inc.",PO #2848,12/08/2023,,,Nogales Vendor,50.0,38.95,43.95,1947.5,12.0,2197.5,238.0,10.83,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,1620951.0,1048.0,Paid,2022-11-02,Nogales Vendor,Frutto Foods,09/21/2022,"Terra Bella Greenhouses, Inc.",BEL-000063,IPR Fresh,PO #55,09/21/2022,,,Nogales Vendor,100.0,18.0,22.55,1800.0,160.0,2255.0,295.0,13.08,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,1637255.0,1063.0,Paid,2022-11-01,Nogales Vendor,Stephan Salas,09/26/2022,"Terra Bella Farms, LLC.",BEL-000085,IPR Fresh,PO #73,09/27/2022,,,Nogales Vendor,10.0,8.0,9.0,80.0,7.5,90.0,2.5,2.78,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,1877645.0,1275.0,Paid,2023-01-11,Nogales Vendor,Frutto Foods,12/05/2022,"Terra Bella Greenhouses, Inc.",310-BEL-2,IPR Fresh,PO #310,12/06/2022,,,Nogales Vendor,100.0,22.0,24.95,2200.0,0.0,2495.0,295.0,11.82,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,1906886.0,1310.0,Paid,2023-01-19,Nogales Vendor,Camilo Andres Cardenas,12/14/2022,Courchesne Larose Ltee.,351-BEL-1,Trufresh,PO #351,12/16/2022,,,Nogales Vendor,100.0,16.95,18.95,1695.0,20.0,1895.0,180.0,9.5,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,1946845.0,1376.0,Paid,2023-02-02,Nogales Vendor,Stephan Salas,12/30/2022,"68 Produce, LLC.",427-BEL-2,"Divine Flavor, LLC.",PO #427,01/02/2023,,,Nogales Vendor,25.0,20.0,25.01,500.0,51.28,625.25,73.97,11.83,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,2248735.0,1913.0,Paid,2023-04-28,Nogales Vendor,Stephan Salas,04/05/2023,"Terra Bella Greenhouses, Inc.",1026-BEL-2,"Wilson Produce, LLC.",PO #1026,04/10/2023,,,Nogales Vendor,100.0,12.0,13.95,1200.0,2.01,1395.0,192.99,13.83,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,2257583.0,1933.0,Paid,2023-04-28,Nogales Vendor,Stephan Salas,04/07/2023,"Terra Bella Greenhouses, Inc.",1049-BEL-3,"Wilson Produce, LLC.",PO #1049,04/10/2023,,,Nogales Vendor,100.0,4.0,13.95,400.0,0.0,1395.0,995.0,71.33,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,2429723.0,2292.0,Paid,2023-06-09,Nogales Vendor,Stephan Salas,05/25/2023,"Terra Bella Greenhouses, Inc.",1483-BEL-1,"Frank's Distributing, Inc.",PO #1483,05/26/2023,,,Nogales Vendor,100.0,32.95,36.95,3295.0,12.0,3695.0,388.0,10.5,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,2479737.0,2406.0,Paid,2023-06-29,Nogales Vendor,Stephan Salas,06/08/2023,"JBJ Distributing, Inc.",1608-BEL-1,"Wholesum Family Farms, Inc.",PO #1608,06/09/2023,,,Nogales Vendor,5.0,22.95,25.95,114.75,0.0,129.75,15.0,11.56,Florida
Bell Pepper Orange Lge,False,11 Lb Box,Fresh,MX,2576857.0,2637.0,Paid,2023-08-14,Nogales Vendor,Diego Ipema,07/05/2023,"SL Produce, LLC.",1867-BEL-3,Nature Fresh Farms Sales Inc.,PO #1867,07/12/2023,,,Nogales Vendor,1300.0,8.5,10.5,11050.0,0.0,13650.0,2600.0,19.05,Florida
Bell Pepper Orange Lge,False,11 Lb Box,Fresh,MX,2604602.0,2691.0,Paid,2023-08-09,McAllen Vendor,Ivonne Padres,07/12/2023,"Ganfer Fresh, LLC.",1922-BEL-1,Nature Fresh Farms Sales Inc.,PO #1922,07/21/2023,,,McAllen Vendor,471.0,7.0,14.5,3297.0,0.0,6829.5,3532.5,51.72,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,2676577.0,2819.0,Paid,2023-09-08,McAllen Vendor,Stephan Salas,08/02/2023,"Terra Bella Farms, LLC.",2059-BEL-6,"Frank's Distributing, Inc.",PO #2059,08/08/2023,,,McAllen Vendor,93.0,10.5,12.95,976.5,0.0,1204.35,227.85,18.92,Florida
Bell Pepper Orange Lge,False,11 Lb Box,Fresh,MX,2690374.0,2847.0,Paid,2023-09-19,McAllen Vendor,Stephan Salas,08/03/2023,"Terra Bella Farms, LLC.",2091-BEL-4,"Lakeway Foods, LLC.",PO #2091,08/08/2023,,,McAllen Vendor,400.0,13.5,14.95,5400.0,0.0,5980.0,580.0,9.7,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,2951740.0,3248.0,Paid,2024-01-05,Nogales Vendor,Stephan Salas,10/12/2023,"Terra Bella Greenhouses, Inc.",2510-BEL-1,IPR Fresh,PO #2510,10/13/2023,,,Nogales Vendor,100.0,7.0,9.66,700.0,0.0,966.0,266.0,27.54,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,3035187.0,3356.0,Paid,2023-12-11,Nogales Vendor,Ivonne Padres,11/03/2023,"Sigma Sales, Inc.",2636-BEL-1,IPR Fresh,PO #2636,11/06/2023,,,Nogales Vendor,50.0,12.0,13.95,600.0,0.0,697.5,97.5,13.98,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,CA,3071147.0,3414.0,Paid,2023-12-29,Leamington Vendor,Stephan Salas,11/14/2023,"Wholesum Family Farms, Inc.",2703-BEL-9,Nature Fresh Farms Sales Inc.,PO #2703,12/21/2023,,,Leamington Vendor,29.0,22.0,24.95,638.0,0.0,723.55,85.55,11.82,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,3093179.0,3447.0,Paid,2023-12-29,Nogales Vendor,Pablo Najar,11/20/2023,"Ciruli Brothers, LLC.",2739-BEL-1,"Wholesum Family Farms, Inc.",PO #2739,11/22/2023,,,Nogales Vendor,27.0,14.95,16.95,403.65,12.0,457.65,42.0,9.18,Florida
Bell Pepper Orange Lge,False,11 Lb Box,Fresh,MX,3108101.0,3467.0,Paid,2023-12-07,McAllen Vendor,Jorge Maldonado,11/25/2023,"Veggies, Inc.",2760-BEL-3,Huron Produce,PO #2760,11/27/2023,,,McAllen Vendor,300.0,14.0,15.95,4200.0,0.0,4785.0,585.0,12.23,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,3146467.0,3543.0,Paid,2023-12-29,Nogales Vendor,Stephan Salas,12/06/2023,"Wholesum Family Farms, Inc.",2836-BEL-1,"Frank's Distributing, Inc.",PO #2836,12/07/2023,,,Nogales Vendor,70.0,38.95,43.5,2726.5,12.0,3045.0,306.5,10.07,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,3188344.0,3627.0,Paid,2024-01-19,Nogales Vendor,Stephan Salas,12/18/2023,"Wholesum Family Farms, Inc.",2945-BEL-1,"Terra Bella Farms, LLC.",PO #2945,12/22/2023,,,Nogales Vendor,500.0,39.95,44.95,19975.0,60.0,22475.0,2440.0,10.86,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,3258891.0,5051.0,Paid,2024-02-02,Nogales Vendor,Stephan Salas,01/09/2024,"Wholesum Family Farms, Inc.",3055-BEL-1,Agriferg Produce LLC,PO #3055,01/11/2024,,,Nogales Vendor,100.0,28.0,33.11,2800.0,14.0,3311.0,497.0,15.01,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,3263525.0,5070.0,Paid,2024-02-02,Nogales Vendor,Stephan Salas,01/10/2024,"Wholesum Family Farms, Inc.",3078-BEL-1,"Frank's Distributing, Inc.",PO #3078,01/11/2024,,,Nogales Vendor,100.0,28.95,32.95,2895.0,14.0,3295.0,386.0,11.71,Florida
Bell Pepper Orange Lge,False,11 Lb Box,Fresh,MX,3311536.0,5171.0,Paid,2024-03-15,Nogales Vendor,Stephan Salas,01/24/2024,"Terra Bella Greenhouses, Inc.",3188-BEL-1,IPR Fresh,PO #3188,01/25/2024,,,Nogales Vendor,100.0,24.0,26.95,2400.0,0.0,2695.0,295.0,10.95,Florida
Bell Pepper Orange Lge,False,11 Lb Box,Fresh,MX,3322077.0,5185.0,Paid,2024-03-04,Nogales Vendor,Stephan Salas,01/27/2024,Pure Flavor Farms LP,3205-BEL-1,IPR Fresh,PO #3205,01/29/2024,,,Nogales Vendor,500.0,22.0,25.0,11000.0,0.0,12500.0,1500.0,12.0,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,3466591.0,5387.0,Paid,2024-07-19,Nogales Vendor,Jorge Maldonado,03/08/2024,Courchesne Larose Ltee.,3454-BEL-2,"Bridges Produce, Inc.",PO #3454,03/11/2024,,,Nogales Vendor,16.0,32.95,37.95,527.2,6.76,607.2,73.24,12.06,Florida
Bell Pepper Orange Lge,False,11 Lb Box,Fresh,MX,3566503.0,5524.0,Paid,2024-05-02,Nogales Vendor,Stephan Salas,04/01/2024,"Terra Bella Greenhouses, Inc.",3597-BEL-1,Trufresh,PO #3597,04/08/2024,,,Nogales Vendor,100.0,9.95,12.5,995.0,0.0,1250.0,255.0,20.4,Florida
Bell Pepper Orange Lge,False,11 Lb Box,Fresh,MX,3610893.0,5596.0,Paid,2024-06-04,Nogales Vendor,Stephan Salas,04/11/2024,Delightful Quality Produce LLC,3675-BEL-1,IPR Fresh,PO #3675,04/12/2024,,,Nogales Vendor,600.0,5.95,6.95,3570.0,0.0,4170.0,600.0,14.39,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,3625352.0,5612.0,Paid,,Nogales Vendor,Pablo Najar,04/15/2024,Huron Produce,3690-BEL-2,IPR Fresh,PO #3690,04/18/2024,,,Nogales Vendor,400.0,0.0,0.0,0.0,924.0,0.0,-924.0,0.0,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,3636472.0,5631.0,Paid,2024-05-21,Nogales Vendor,Stephan Salas,04/17/2024,"Greenhouse Produce Company, LLC.",3715-BEL-1,Agriferg Produce LLC,PO #3715,04/18/2024,,,Nogales Vendor,100.0,18.95,21.75,1895.0,0.0,2175.0,280.0,12.87,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,3640830.0,5636.0,Paid,2024-05-10,Nogales Vendor,Stephan Salas,04/19/2024,"JBJ Distributing, Inc.",3719-BEL-2,Agriferg Produce LLC,PO #3719,04/22/2024,,,Nogales Vendor,100.0,15.01,19.86,1501.0,0.0,1986.0,485.0,24.42,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,3669791.0,5680.0,Paid,2024-06-18,Nogales Vendor,Pablo Najar,04/25/2024,"Ciruli Brothers, LLC.",3763-BEL-1,"Wholesum Family Farms, Inc.",PO #3763,04/26/2024,,,Nogales Vendor,31.0,24.95,27.95,773.45,6.75,866.45,86.25,9.95,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,3678063.0,5693.0,Paid,2024-06-18,Nogales Vendor,Pablo Najar,04/27/2024,"Ciruli Brothers, LLC.",3777-BEL-1,Agriferg Produce LLC,PO #3777,04/29/2024,,,Nogales Vendor,100.0,25.0,27.95,2500.0,16.99,2795.0,278.01,9.95,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,3700050.0,5729.0,Paid,2024-06-17,Nogales Vendor,Pablo Najar,05/02/2024,"Ciruli Brothers, LLC.",3802-BEL-3,"Wholesum Family Farms, Inc.",PO #3802,05/02/2024,,,Nogales Vendor,30.0,24.95,27.95,748.5,10.33,838.5,79.67,9.5,Florida
Bell Pepper Orange Lge,False,11 Lb Box,Fresh,MX,3757846.0,5813.0,Paid,2024-07-18,Nogales Vendor,Stephan Salas,05/16/2024,Delightful Quality Produce LLC,3909-BEL-2,"Malena Produce, Inc.",PO #3909,05/18/2024,,,Nogales Vendor,600.0,6.0,6.95,3600.0,0.0,4170.0,570.0,13.67,Florida
Bell Pepper Orange Lge,False,11 Lb Box,Fresh,MX,3758307.0,5815.0,Paid,2024-10-01,Nogales Vendor,Frutto Foods,04/29/2024,First Choice Produce Inc.,3914-BEL-1,"Produce Team, LLC.",PO #3914,05/28/2024,,,Nogales Vendor,93.0,1.5,2.0,139.5,0.0,186.0,46.5,25.0,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,3804028.0,5891.0,Paid,2024-07-08,Nogales Vendor,Stephan Salas,05/28/2024,"Terra Bella Farms, LLC.",4000-BEL-3,"Wholesum Family Farms, Inc.",PO #4000,05/29/2024,,,Nogales Vendor,85.0,5.0,6.5,425.0,8.2,552.5,119.3,21.59,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,3881803.0,5998.0,Paid,2024-08-07,Nogales Vendor,Stephan Salas,06/15/2024,"Terra Bella Greenhouses, Inc.",4113-BEL-5,"Wholesum Family Farms, Inc.",PO #4113,07/17/2024,,,Nogales Vendor,10.0,36.95,39.95,369.5,0.0,399.5,30.0,7.51,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,3969278.0,6076.0,Paid,2024-08-02,Nogales Vendor,Pablo Najar,07/05/2024,"Ciruli Brothers, LLC.",4195-BEL-5,"The Produce Exchange, Inc.",PO #4195,07/10/2024,,,Nogales Vendor,73.0,42.0,47.95,3066.0,23.35,3500.35,411.0,11.74,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,3969278.0,6076.0,Paid,2024-08-02,Nogales Vendor,Pablo Najar,07/05/2024,"Ciruli Brothers, LLC.",4195-BEL-11,"The Produce Exchange, Inc.",PO #4195,07/10/2024,,,Nogales Vendor,100.0,42.0,47.95,4200.0,31.99,4795.0,563.01,11.74,Florida
Bell Pepper Orange Lge,False,11 Lb Box,Fresh,MX,3983006.0,6086.0,Paid,2024-10-01,Nogales Vendor,Jorge Maldonado,07/09/2024,"McAllen Tropicpak, Inc.",4203-BEL-1,"Harvest Best, Inc.",PO #4203,07/13/2024,,,Nogales Vendor,20.0,15.25,18.95,305.0,0.0,379.0,74.0,19.53,Florida
Bell Pepper Orange Lge,False,11 Lb Box,Fresh,MX,4018489.0,6110.0,Paid,2024-10-02,McAllen Vendor,Stephan Salas,07/17/2024,"Terra Bella Greenhouses, Inc.",4229-BEL-2,"Harvest Best, Inc.",PO #4229,07/29/2024,,,McAllen Vendor,200.0,15.0,17.0,3000.0,0.0,3400.0,400.0,11.76,Florida
Bell Pepper Orange Lge,False,11 Lb Box,Fresh,MX,4111335.0,6177.0,Paid,2024-10-02,McAllen Vendor,Jorge Maldonado,08/08/2024,"Ganfer Fresh, LLC.",4300-BEL-3,"Harvest Best, Inc.",PO #4300,08/09/2024,,,McAllen Vendor,185.0,15.25,24.95,2821.25,0.0,4615.75,1794.5,38.88,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,4130755.0,6202.0,Paid,2024-09-03,Nogales Vendor,Jorge Maldonado,08/14/2024,ARKR LLC,4329-BEL-2,"Wholesum Family Farms, Inc.",PO #4329,08/15/2024,,,Nogales Vendor,1.0,30.95,39.95,30.95,0.0,39.95,9.0,22.53,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,4164545.0,6237.0,Paid,2024-09-10,Nogales Vendor,Jorge Maldonado,08/21/2024,ARKR LLC,4367-BEL-2,"Wholesum Family Farms, Inc.",PO #4367,08/22/2024,,,Nogales Vendor,3.0,30.95,38.95,92.85,0.0,116.85,24.0,20.54,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,4276768.0,6351.0,Paid,2024-10-17,Nogales Vendor,Stephan Salas,09/17/2024,"Terra Bella Greenhouses, Inc.",4487-BEL-1,"The Produce Exchange, Inc.",PO #4487,09/24/2024,,,Nogales Vendor,30.0,24.95,27.95,748.5,14.0,838.5,76.0,9.06,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,4292204.0,6365.0,Paid,2024-10-28,Nogales Vendor,Stephan Salas,09/20/2024,"Terra Bella Greenhouses, Inc.",4504-BEL-1,"Frank's Distributing, Inc.",PO #4504,09/23/2024,,,Nogales Vendor,60.0,24.95,27.95,1497.0,14.0,1677.0,166.0,9.9,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,4373128.0,6443.0,Paid,2024-11-13,Nogales Vendor,Stephan Salas,10/10/2024,"Terra Bella Greenhouses, Inc.",4583-BEL-3,"The Produce Exchange, Inc.",PO #4583,10/18/2024,,,Nogales Vendor,67.0,10.0,12.95,670.0,0.0,867.65,197.65,22.78,Florida
Bell Pepper Orange Lge,False,11 Lb Box,Fresh,MX,4436416.0,6535.0,Paid,2024-11-26,McAllen Vendor,Pablo Najar,10/25/2024,Mastronardi Produce Ltd.,4690-BEL-1,Kingdom Fresh Farms,PO #4690,10/29/2024,,,McAllen Vendor,227.0,18.95,23.95,4301.65,220.42,5436.65,914.58,16.82,Florida
Bell Pepper Orange Lge,False,11 Lb Box,Fresh,MX,4728375.0,10042.0,Paid,2025-02-19,Nogales Vendor,Stephan Salas,01/10/2025,"Terra Bella Greenhouses, Inc.",50058-BEL-4,Agriferg Produce LLC,PO #50058,01/13/2025,,,Nogales Vendor,100.0,15.0,17.0,1500.0,0.0,1700.0,200.0,11.76,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,4843201.0,10224.0,Paid,2025-03-26,Nogales Vendor,Pablo Najar,02/06/2025,Windset Farms,50273-BEL-1,Agriferg Produce LLC,PO #50273,02/10/2025,,,Nogales Vendor,100.0,0.0,0.0,0.0,14.0,0.0,-14.0,0.0,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,4856512.0,10238.0,Paid,2025-03-29,Nogales Vendor,Pablo Najar,02/10/2025,Windset Farms,50290-BEL-2,Agriferg Produce LLC,PO #50290,02/13/2025,,,Nogales Vendor,100.0,12.95,15.95,1295.0,5.83,1595.0,294.17,18.44,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,4882560.0,10282.0,Paid,2025-03-31,Nogales Vendor,Stephan Salas,02/15/2025,The Produce Exchange Inc,50332-BEL-2,Agriferg Produce LLC,PO #50332,02/18/2025,,,Nogales Vendor,100.0,24.0,26.95,2400.0,16.41,2695.0,278.59,10.34,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,4883114.0,10284.0,Paid,2025-04-04,Nogales Vendor,Stephan Salas,02/17/2025,The Produce Exchange Inc,50336-BEL-1,Trufresh,PO #50336,02/18/2025,,,Nogales Vendor,167.0,21.95,13.95,3665.65,28.0,2329.65,-1364.0,-58.55,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,4890317.0,10306.0,Paid,2025-03-29,Nogales Vendor,Pablo Najar,02/18/2025,Windset Farms,50359-BEL-3,Trufresh,PO #50359,03/05/2025,,,Nogales Vendor,91.0,24.0,28.95,2184.0,0.0,2634.45,450.45,17.1,Florida
Bell Pepper Orange Lge,False,11 Lb Box,Fresh,MX,4893617.0,10310.0,Paid,2025-03-07,McAllen Vendor,Stephan Salas,02/19/2025,Huron Produce,50362-BEL-3,Red Sun Farms,PO #50362,02/24/2025,,,McAllen Vendor,200.0,11.5,13.0,2300.0,0.0,2600.0,300.0,11.54,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,4898919.0,10319.0,Paid,2025-04-15,Nogales Vendor,Stephan Salas,02/20/2025,"Terra Bella Greenhouses, Inc.",50373-BEL-1,Agriferg Produce LLC,PO #50373,02/21/2025,,,Nogales Vendor,60.0,22.0,24.95,1320.0,0.0,1497.0,177.0,11.82,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,4904749.0,10330.0,Paid,2025-03-25,Nogales Vendor,Stephan Salas,02/21/2025,"Terra Bella Greenhouses, Inc.",50389-BEL-1,Agriferg Produce LLC,PO #50389,02/24/2025,,,Nogales Vendor,50.0,22.0,24.95,1100.0,0.0,1247.5,147.5,11.82,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,4913414.0,10337.0,Paid,2025-03-25,Nogales Vendor,Stephan Salas,02/24/2025,"Terra Bella Greenhouses, Inc.",50400-BEL-1,Agriferg Produce LLC,PO #50400,02/25/2025,,,Nogales Vendor,20.0,22.0,24.95,440.0,1.44,499.0,57.56,11.54,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,5017598.0,10523.0,Paid,2025-04-04,Nogales Vendor,Stephan Salas,03/20/2025,"JBJ Distributing, Inc.",50603-BEL-2,IPR Fresh,PO #50603,03/21/2025,,,Nogales Vendor,20.0,8.0,11.37,160.0,0.0,227.4,67.4,29.64,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,5123425.0,10721.0,Paid,2025-05-20,Nogales Vendor,Stephan Salas,04/14/2025,"Terra Bella Greenhouses, Inc.",50829-BEL-3,IPR Fresh,PO #50829,04/15/2025,,,Nogales Vendor,100.0,14.5,17.1,1450.0,39.0,1710.0,221.0,12.92,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,5141381.0,10755.0,Paid,2025-05-28,Nogales Vendor,Stephan Salas,04/17/2025,"Terra Bella Greenhouses, Inc.",50867-BEL-4,IPR Fresh,PO #50867,04/18/2025,,,Nogales Vendor,50.0,15.0,16.95,750.0,0.0,847.5,97.5,11.5,Florida
Bell Pepper Orange Lge,True,11 Lb Box,Fresh,MX,5176083.0,10806.0,Paid,2025-05-20,Nogales Vendor,Stephan Salas,04/25/2025,The Produce Exchange Inc,50919-BEL-1,IPR Fresh,PO #50919,04/28/2025,,,Nogales Vendor,100.0,18.95,21.95,1895.0,0.0,2195.0,300.0,13.67,Florida
