Product,Organic,Unit,Label,COO,Sales Order,Invoice #,Invoice Payment Status,Most Recent Invoice Paid Date,Sale Location,Sales Rep,Reqs. Date,Customer,Lot,Vendor,Source,Received Date,Use By Date,Pack Date,Lot Location,Quantity,Cost per Unit,Price per Unit,Total Cost,Total Sold Lot Expenses,Total Revenue,Total Profit $,Total Profit %,Oficina
Bell Pepper Green Jmb,False,20 Lb Box,Fresh,MX,4479192.0,1145.0,Paid,2025-01-15,Frutto Foods Texas LLC,Cristian Valdez,11/05/2024,"Lakeway Foods, LLC.",1019-BEL-1,"Sweet Seasons, LLC.",PO #1019,11/06/2024,,,Frutto Foods Texas LLC,150.0,36.5,40.5,5475.0,0.0,6075.0,600.0,9.88,Texas
Bell Pepper Green Jmb,False,25 Lb Box,Fresh,MX,2878088.0,145.0,Paid,2023-10-24,Frutto Foods Texas LLC,Diego Ipema,09/22/2023,Keith Connell Inc.,142-BEL-1,"SL Produce, LLC.",PO #142,09/25/2023,,,Frutto Foods Texas LLC,112.0,11.0,13.0,1232.0,0.0,1456.0,224.0,15.38,Texas
Bell Pepper Green Jmb,False,25 Lb Box,Fresh,MX,3237973.0,508.0,Paid,2024-02-07,Frutto Foods Texas LLC,Diego Ipema,01/03/2024,"C and J Brothers, Inc.",347-BEL-1,"SL Produce, LLC.",PO #347,01/06/2024,,,Frutto Foods Texas LLC,336.0,22.5,22.5,7560.0,0.0,7560.0,0.0,0.0,Texas
Bell Pepper Green Jmb,True,25 Lb Box,Fresh,MX,3410399.0,625.0,Paid,2024-04-03,Frutto Foods Texas LLC,Diego Ipema,02/21/2024,"Veg-Fresh Farms, LLC.",467-BEL-2,Agriferg Produce LLC,PO #467,02/23/2024,,,Frutto Foods Texas LLC,56.0,28.0,31.95,1568.0,0.0,1789.2,221.2,12.36,Texas
Bell Pepper Green Jmb,True,25 Lb Box,Fresh,MX,3676127.0,785.0,Paid,2024-06-04,Nogales Vendor,Diego Ipema,04/26/2024,"Veg-Fresh Farms, LLC.",635-BEL-1,"Wilson Produce, LLC.",PO #635,05/04/2024,,,Nogales Vendor,56.0,22.95,24.5,1285.2,0.0,1372.0,86.8,6.33,Texas
Bell Pepper Green Jmb,False,25 Lb Box,Fresh,MX,4315786.0,1055.0,Paid,2024-10-31,Frutto Foods Texas LLC,Diego Ipema,09/26/2024,Keith Connell Inc.,921-BEL-1,"SL Produce, LLC.",PO #921,10/01/2024,,,Frutto Foods Texas LLC,168.0,16.0,17.95,2688.0,0.0,3015.6,327.6,10.86,Texas
Bell Pepper Green Lge,False,1 1/9 Bua,Fresh,MX,2832921.0,120.0,Paid,2023-09-19,Frutto Foods Texas LLC,Gaston Becerril,09/11/2023,Om Produce,116-BEL-1,"Sweet Seasons, LLC.",PO #116,09/12/2023,,,Frutto Foods Texas LLC,98.0,10.0,11.5,980.0,0.0,1127.0,147.0,13.04,Texas
Bell Pepper Green Lge,False,1 1/9 Bua,Fresh,MX,3017003.0,225.0,Paid,2023-12-11,Frutto Foods Texas LLC,Gaston Becerril,10/30/2023,Double J Produce,220-BEL-1,"SL Produce, LLC.",PO #220,10/30/2023,,,Frutto Foods Texas LLC,168.0,12.0,14.28,2016.0,0.0,2399.04,383.04,15.97,Texas
Bell Pepper Green Lge,False,1 1/9 Bua,Fresh,MX,3041757.0,242.0,Paid,2023-11-23,Frutto Foods Texas LLC,Gaston Becerril,11/06/2023,Om Produce,238-BEL-1,"SL Produce, LLC.",PO #238,11/06/2023,,,Frutto Foods Texas LLC,56.0,16.5,18.95,924.0,0.0,1061.2,137.2,12.93,Texas
Bell Pepper Green Lge,False,1 1/9 Bua,Fresh,US,3131508.0,297.0,Paid,2024-01-08,Frutto Foods Texas LLC,Gaston Becerril,12/01/2023,Double J Produce,293-BEL-1,"SL Produce, LLC.",PO #293,12/04/2023,,,Frutto Foods Texas LLC,224.0,13.0,14.0,2912.0,0.0,3136.0,224.0,7.14,Texas
Bell Pepper Green Lge,False,1 1/9 Bua,Fresh,MX,3345133.0,590.0,Paid,2024-03-06,Frutto Foods Texas LLC,Diego Ipema,02/02/2024,Delta Fresh Sales LLC,431-BEL-1,Trufresh,PO #431,02/05/2024,,,Frutto Foods Texas LLC,224.0,22.95,26.0,5140.8,0.0,5824.0,683.2,11.73,Texas
Bell Pepper Green Lge,True,1 1/9 Bua,Fresh,MX,3683276.0,790.0,Paid,2024-06-10,Nogales Vendor,Diego Ipema,04/29/2024,"Veg-Fresh Farms, LLC.",639-BEL-2,Agriferg Produce LLC,PO #639,05/01/2024,,,Nogales Vendor,56.0,22.95,24.5,1285.2,0.0,1372.0,86.8,6.33,Texas
Bell Pepper Green Lge,False,1 1/9 Bua,Fresh,MX,3758089.0,844.0,Paid,2024-06-13,Nogales Vendor,Diego Ipema,05/16/2024,"Sunterra Produce Traders East, LLC.",700-BEL-1,"SL Produce, LLC.",PO #700,06/20/2024,,,Nogales Vendor,615.0,5.0,7.0,3075.0,243.0,4305.0,987.0,22.93,Texas
Bell Pepper Green Lge,True,25 Lb,Fresh,MX,3192316.0,322.0,Paid,2024-01-22,Frutto Foods Texas LLC,Diego Ipema,12/19/2023,Keith Connell Inc.,318-BEL-1,Trufresh,PO #318,12/21/2023,,,Frutto Foods Texas LLC,112.0,12.95,16.95,1450.4,0.0,1898.4,448.0,23.6,Texas
Bell Pepper Green Lge,True,25 Lb,Fresh,MX,4927207.0,2157.0,Paid,2025-04-04,Nogales Vendor,Diego Ipema,02/27/2025,"Veg-Fresh Farms, LLC.",10180-BEL-1,Agriferg Produce LLC,PO #10180,02/28/2025,,,Nogales Vendor,56.0,18.95,20.95,1061.2,0.0,1173.2,112.0,9.55,Texas
Bell Pepper Green Lge,True,25 Lb,Fresh,MX,4933193.0,2167.0,Paid,2025-04-04,Nogales Vendor,Diego Ipema,02/28/2025,"Veg-Fresh Farms, LLC.",10187-BEL-1,Agriferg Produce LLC,PO #10187,03/03/2025,,,Nogales Vendor,56.0,20.95,22.95,1173.2,0.0,1285.2,112.0,8.71,Texas
Bell Pepper Green Lge,True,25 Lb,Non Sticker,MX,3336354.0,588.0,Paid,2024-02-26,Frutto Foods Texas LLC,Diego Ipema,01/31/2024,"Sunterra Produce Traders East, LLC.",429-BEL-1,Costa Azul Organica USA Inc,PO #429,02/02/2024,,,Frutto Foods Texas LLC,420.0,14.0,17.5,5880.0,120.0,7350.0,1350.0,18.37,Texas
Bell Pepper Green Lge,True,25 Lb,Non Sticker,MX,3352731.0,595.0,Paid,2024-03-11,Frutto Foods Texas LLC,Diego Ipema,02/05/2024,"SL Produce, LLC.",437-BEL-1,Costa Azul Organica USA Inc,PO #437,02/08/2024,,,Frutto Foods Texas LLC,392.0,22.0,26.0,8624.0,0.0,10192.0,1568.0,15.38,Texas
